steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	cumulative_steps	n_updates	rlen
9066	106	17.85300612449646	72.0	72.0	0.0	72.0	72.0	-6.261898	1.2560410895035603	9066	8567	9066
9100	107	17.911099195480347	72.0	72.0	0.0	72.0	72.0	-6.562545	1.0668388126650825	9100	8601	9100
9138	108	17.97689914703369	72.0	72.0	0.0	72.0	72.0	-6.451175	0.8804186082445085	9138	8639	9138
9178	109	18.04462432861328	72.0	72.0	0.0	72.0	72.0	-6.6368465	0.7204542137216776	9178	8679	9178
9222	110	18.11885356903076	72.0	72.0	0.0	72.0	72.0	-6.188358	0.791309181288816	9222	8723	9222
9262	111	18.185333251953125	72.0	72.0	0.0	72.0	72.0	-6.295721	0.8122498976066709	9262	8763	9262
9298	112	18.24733853340149	72.0	72.0	0.0	72.0	72.0	-6.3378315	0.9145132425916381	9298	8799	9298
9340	113	18.319074869155884	72.0	72.0	0.0	72.0	72.0	-6.085705	1.0673161519085987	9340	8841	9340
9384	114	18.397298097610474	72.0	72.0	0.0	72.0	72.0	-6.0151095	1.1465122771728784	9384	8885	9384
9427	115	18.470852613449097	72.0	72.0	0.0	72.0	72.0	-5.9925323	1.0640584927098826	9427	8928	9427
9465	116	18.53829550743103	72.0	72.0	0.0	72.0	72.0	-6.319896	0.8275549715803936	9465	8966	9465
9515	117	18.62784218788147	72.0	72.0	0.0	72.0	72.0	-6.0134845	0.9064867696957662	9515	9016	9515
9561	118	18.706050395965576	72.0	72.0	0.0	72.0	72.0	-5.7593694	0.979566716765985	9561	9062	9561
9602	119	18.776960611343384	72.0	72.0	0.0	72.0	72.0	-5.507209	0.8686403717892245	9602	9103	9602
9664	120	18.877593755722046	72.0	72.0	0.0	72.0	72.0	-5.595288	0.8301298658037558	9664	9165	9664
9707	121	18.95088839530945	72.0	72.0	0.0	72.0	72.0	-5.6632967	1.041954433026258	9707	9208	9707
9741	122	19.009793996810913	72.0	72.0	0.0	72.0	72.0	-5.6259794	0.8417029800941236	9741	9242	9741
9791	123	19.092113256454468	72.0	72.0	0.0	72.0	72.0	-5.4718127	0.83895636635134	9791	9292	9791
9849	124	19.18630814552307	71.0	71.0	0.0	71.0	71.0	-5.118071	0.9265790006518364	9849	9350	9849
9902	125	19.27541732788086	72.0	72.0	0.0	72.0	72.0	-5.581379	0.8710574894025922	9902	9403	9902
9942	126	19.345133543014526	72.0	72.0	0.0	72.0	72.0	-5.5857177	0.934829992800951	9942	9443	9942
9978	127	19.4075608253479	72.0	72.0	0.0	72.0	72.0	-4.950944	1.1009779498679564	9978	9479	9978
10025	128	19.4858136177063	72.0	72.0	0.0	72.0	72.0	-5.401531	1.1906933517521248	10025	9526	10025
10066	129	19.555940628051758	72.0	72.0	0.0	72.0	72.0	-5.5910997	1.0018956550513394	10066	9567	10066
10100	130	19.615400552749634	72.0	72.0	0.0	72.0	72.0	-5.062091	0.9399688434717245	10100	9601	10100
10167	131	19.723706245422363	72.0	72.0	0.0	72.0	72.0	-5.117056	0.9168005890632048	10167	9668	10167
10198	132	19.778398275375366	72.0	72.0	0.0	72.0	72.0	-5.5593305	0.8684483709745109	10198	9699	10198
10250	133	19.869017362594604	72.0	72.0	0.0	72.0	72.0	-4.468612	0.881942159102764	10250	9751	10250
10292	134	19.944612979888916	72.0	72.0	0.0	72.0	72.0	-4.6033006	0.9680650355224497	10292	9793	10292
10336	135	20.019583225250244	72.0	72.0	0.0	72.0	72.0	-4.790654	0.8943061904259957	10336	9837	10336
